[2025-07-02 17:35:01,114: INFO: main: logging is implemeted]
[2025-07-03 11:58:10,436: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-03 11:58:10,440: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-03 11:58:10,445: INFO: common: created directory at: artifacts]
[2025-07-03 11:58:10,448: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-03 11:58:11,122: INFO: 111464816: Downloaded file and saved to artifacts/data_ingestion/dataset.zip]
[2025-07-03 12:00:38,571: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-03 12:00:38,573: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-03 12:00:38,575: INFO: common: created directory at: artifacts]
[2025-07-03 12:00:38,581: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-03 12:00:42,265: INFO: 2917796623: Downloaded file and saved to artifacts/data_ingestion/dataset.zip]
[2025-07-03 12:00:42,404: INFO: 2917796623: Extracted zip file to artifacts/data_ingestion]
[2025-07-03 12:01:10,595: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-03 12:01:10,597: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-03 12:01:10,598: INFO: common: created directory at: artifacts]
[2025-07-03 12:01:10,599: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-03 12:01:15,257: INFO: 2917796623: Downloaded file and saved to artifacts/data_ingestion/dataset.zip]
[2025-07-03 12:01:15,386: INFO: 2917796623: Extracted zip file to artifacts/data_ingestion]
[2025-07-03 12:14:11,503: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-07-03 12:14:11,505: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-03 12:14:11,505: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-03 12:14:11,506: INFO: common: created directory at: artifacts]
[2025-07-03 12:14:11,506: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-03 12:14:11,508: INFO: data_ingestion: File already exists ]
[2025-07-03 12:14:11,642: INFO: data_ingestion: Extracted zip file to artifacts/data_ingestion]
[2025-07-03 12:14:11,642: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<]
[2025-07-03 12:19:42,174: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-07-03 12:19:42,174: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-03 12:19:42,174: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-03 12:19:42,174: INFO: common: created directory at: artifacts]
[2025-07-03 12:19:42,174: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-03 12:19:50,491: INFO: data_ingestion: Downloaded file and saved to artifacts/data_ingestion/dataset.zip]
[2025-07-03 12:19:50,630: INFO: data_ingestion: Extracted zip file to artifacts/data_ingestion]
[2025-07-03 12:19:50,630: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<]
[2025-07-03 12:53:32,948: INFO: config: PyTorch version 2.7.1 available.]
[2025-07-03 13:04:52,175: INFO: config: PyTorch version 2.7.1 available.]
[2025-07-03 13:04:52,819: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-03 13:04:52,827: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-03 13:04:52,830: INFO: common: created directory at: artifacts]
[2025-07-03 13:04:52,835: INFO: common: created directory at: artifacts/data_transformation]
[2025-07-03 13:08:03,602: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-03 13:08:03,614: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-03 13:08:03,614: INFO: common: created directory at: artifacts]
[2025-07-03 13:08:03,620: INFO: common: created directory at: artifacts/data_transformation]
[2025-07-03 13:17:28,539: INFO: config: PyTorch version 2.7.1 available.]
[2025-07-03 13:17:29,199: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-07-03 13:17:29,205: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-03 13:17:29,210: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-03 13:17:29,212: INFO: common: created directory at: artifacts]
[2025-07-03 13:17:29,212: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-03 13:17:29,212: INFO: data_ingestion: File already exists ]
[2025-07-03 13:17:29,412: INFO: data_ingestion: Extracted zip file to artifacts/data_ingestion]
[2025-07-03 13:17:29,412: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<]
[2025-07-03 13:17:29,412: INFO: main: >>>>>> stage Data Transformation stage started <<<<<<]
[2025-07-03 13:17:29,412: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-03 13:17:29,412: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-03 13:17:29,418: INFO: common: created directory at: artifacts]
[2025-07-03 13:17:29,419: INFO: common: created directory at: artifacts/data_transformation]
[2025-07-03 13:17:37,300: INFO: main: >>>>>> stage Data Transformation stage completed <<<<<<]
